fill_date,symbol,side,fill_qty,prev_close,fill_open,actual_fill,overnight_bps,execution_bps,total_gap_bps,notional_usd
2026-06-09,SPY,sell,3.3661,739.235,743.41,743.69,-56.48,-3.77,-60.27,2503.33
2026-06-08,QQQ,sell,3.7091,705.375,717.82,716.1898,-176.43,22.71,-153.32,2656.45
2026-06-08,XLK,buy,13.5258,180.26,185.12,184.831,269.61,-15.61,253.58,2499.99
2026-06-08,IWM,sell,8.9705,281.68,285.51,284.4942,-135.97,35.58,-99.91,2552.07
2026-06-08,XLE,buy,42.8433,57.67,58.07,58.352,69.36,48.56,118.26,2499.99
2026-06-08,SPY,buy,3.3661,737.45,743.35,742.6985,80.01,-8.76,71.17,2499.99
2026-05-04,IWM,buy,8.9705,279.3,278.695,278.69,-21.66,-0.18,-21.84,2500.0
2026-05-04,QQQ,buy,3.7091,674.1,674.675,674.01,8.53,-9.86,-1.34,2500.0
