date,portfolio_value,cash,invested,daily_pnl,cumulative_pnl,cumulative_return_pct,drawdown_pct,peak_value,trade_count_today,signal_count_today
2026-03-16,5000.00,5000.00,0.00,0.00,0.00,0.00,0.00,5000.00,0,0
2026-05-01,5000.00,5000.00,0.00,0.00,0.00,0.00,0.00,5000.00,0,6
2026-06-06,5000.00,5000.00,0.00,0.00,0.00,0.00,0.00,5000.00,0,16
