entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,signal_types,exit_reason,period,trade_id
2009-12-30,2010-01-06,84.4675,85.2653,266,212.22,12.5768,12.7003,25.2771,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,32
2010-01-11,2010-01-15,86.1265,85.2128,264,-241.2,12.704,12.5986,25.3026,False,4,"OEX,PRE_HOLIDAY",CALENDAR,IS,33
2010-01-28,2010-02-03,81.5025,82.3557,276,235.49,12.6495,12.7795,25.4291,False,4,TOM,CALENDAR,IS,34
2010-02-11,2010-02-12,81.1722,81.0134,280,-44.47,12.7881,12.7779,25.566,False,1,PRE_HOLIDAY,CALENDAR,IS,35
2010-02-16,2010-02-18,82.3808,83.1656,275,215.83,12.7266,12.8468,25.5734,False,2,OEX,CALENDAR,IS,36
2010-02-25,2010-03-03,83.0789,84.208,275,310.5,12.8196,12.986,25.8056,False,4,TOM,CALENDAR,IS,37
2010-03-15,2010-03-18,86.6969,87.7625,267,284.5,12.9201,13.0738,25.9938,False,3,OEX,CALENDAR,IS,38
2010-03-30,2010-04-06,88.4936,89.6299,265,301.13,13.0573,13.2201,26.2774,False,4,TOM,CALENDAR,IS,39
2010-04-12,2010-04-15,90.2573,91.3241,263,280.58,13.1911,13.3456,26.5366,False,3,OEX,CALENDAR,IS,40
2010-04-29,2010-05-05,91.1015,87.9582,264,-829.83,13.3643,12.9663,26.3306,False,4,TOM,CALENDAR,IS,41
2010-05-27,2010-05-28,83.4889,82.3484,278,-317.03,13.0293,12.8829,25.9122,False,1,PRE_HOLIDAY,CALENDAR,IS,42
2010-06-16,2010-06-17,84.3933,84.4342,271,11.08,12.8248,12.8436,25.6685,False,1,PRE_HOLIDAY,CALENDAR,IS,43
2010-07-01,2010-07-02,77.8274,77.3158,295,-150.94,12.9846,12.9177,25.9023,False,1,PRE_HOLIDAY,CALENDAR,IS,44
2010-07-12,2010-07-15,81.8185,82.9748,278,321.46,12.7892,12.962,25.7512,False,3,OEX,CALENDAR,IS,45
2010-07-29,2010-08-04,83.53,85.464,276,533.76,12.9331,13.2126,26.1457,False,4,TOM,CALENDAR,IS,46
2010-08-16,2010-08-19,81.9927,81.613,288,-109.34,13.2724,13.2293,26.5017,False,3,OEX,CALENDAR,IS,47
2010-08-30,2010-09-03,79.7586,83.8903,295,1218.84,13.2612,13.8935,27.1547,False,4,"PRE_HOLIDAY,TOM",CALENDAR,IS,48
2010-09-13,2010-09-16,85.3703,85.5245,290,44.7,13.8568,13.8921,27.7489,False,3,OEX,CALENDAR,IS,49
2010-09-29,2010-10-05,87.1597,88.2566,284,311.51,13.8202,13.9848,27.8051,False,4,TOM,CALENDAR,IS,50
2010-10-11,2010-10-14,88.8196,89.3367,282,145.83,13.9512,14.0387,27.9899,False,3,OEX,CALENDAR,IS,51
2010-10-28,2010-11-03,90.1519,91.2306,280,302.03,14.0352,14.1951,28.2303,False,4,TOM,CALENDAR,IS,52
2010-11-15,2010-11-18,91.393,91.2382,279,-43.18,14.1596,14.1543,28.314,False,3,OEX,CALENDAR,IS,53
2010-11-23,2010-11-24,90.19,91.4208,283,348.31,14.1963,14.3871,28.5834,False,1,PRE_HOLIDAY,CALENDAR,IS,54
2010-11-29,2010-12-03,90.7306,93.4668,285,779.81,14.3773,14.7845,29.1618,False,4,TOM,CALENDAR,IS,55
2010-12-13,2010-12-16,94.842,94.9348,281,26.06,14.755,14.7808,29.5358,False,3,OEX,CALENDAR,IS,56
2010-12-22,2010-12-23,96.2745,96.0305,277,-67.6,14.7377,14.7172,29.4549,False,1,PRE_HOLIDAY,CALENDAR,IS,57
