entry_date,exit_date,asset_held,days_held,spy_return,shy_return,net_return,win
2022-01-03,2022-10-12,SPY,196,-0.2449639625430673,-0.04401582293323891,-0.24496396254306696,False
2022-10-13,2022-10-14,SHY,2,-0.022789141088876197,-0.0004949807748695356,0.0252530146820662,True
2022-10-17,2024-08-05,SPY,452,0.44758300400253526,0.08266399868515206,0.4447095760405193,True
2024-08-06,2024-08-08,SHY,3,0.016278681041627996,-0.0010901933624335447,0.007525143395256784,False
2024-08-09,2024-12-30,SPY,99,0.11073405595720387,0.01021653197008443,0.10653541724209603,True
