entry_date,exit_date,asset_held,days_held,spy_return,shy_return,net_return,win
2008-01-02,2008-01-17,SPY,12,-0.07934856790531541,0.009958524796999102,-0.07934856790531553,False
2008-01-18,2008-02-22,SHY,24,0.02695708685155762,0.007229485787470624,-0.004053358190403311,False
2008-02-25,2008-03-07,SPY,10,-0.05548688706761806,0.010221589890277771,-0.05832173664509743,False
2008-03-10,2008-03-20,SHY,9,0.03698369833310777,-0.0007126148860193693,-0.014840673024007711,False
2008-03-24,2008-07-03,SPY,73,-0.05773643533688122,-0.0032204433097151597,-0.06300007943023678,False
2008-07-07,2008-07-21,SHY,11,0.008238732874930266,-0.0014482680128106162,-0.012602836796467676,False
2008-07-22,2008-09-12,SPY,38,-0.010903307362290282,0.01214321600721191,-0.013121166552152341,False
2008-09-15,2008-12-10,SHY,62,-0.2453029562705632,0.02170220714973059,-0.027920257845922003,True
2008-12-11,2008-12-22,SPY,8,-0.001970128390228254,-0.002828711497752212,-0.0007532547101642972,True
2008-12-23,2008-12-26,SHY,3,0.011606628352866188,0.0014172688377867004,-0.010111721944538021,False
2008-12-29,2009-02-02,SPY,24,-0.04982160205115327,-0.002975664513257592,-0.04881162742608425,False
2009-02-03,2009-02-11,SHY,7,-0.0016719864252716654,-0.00035640729244290625,0.01249170168040803,True
2009-02-12,2009-02-17,SPY,3,-0.053071868071544515,0.0007126908453114478,-0.05301008773890159,False
2009-02-18,2009-03-26,SHY,27,0.05915276090440713,0.0009418858209035985,-0.0026953667289247862,False
2009-03-27,2010-02-05,SPY,218,0.32770003250615876,0.016767601615896854,0.32685156954406236,True
2010-02-08,2010-02-09,SHY,2,0.012560110800603264,-0.0009562726177507752,-0.009211013435898141,False
2010-02-10,2010-05-17,SPY,67,0.06923910243906906,0.006038979307774861,0.0667428272972257,True
2010-05-18,2010-06-02,SHY,11,-0.018416657323437113,-0.000584639811262555,-0.015190526192537801,True
2010-06-03,2010-06-07,SPY,3,-0.04714979283978726,0.001912272105017765,-0.04859490322219373,False
2010-06-08,2010-06-09,SHY,2,-0.005345812992550436,0.00011970448128173494,0.009792681529269709,True
2010-06-10,2011-03-16,SPY,194,0.17388424692773086,0.011808169082897502,0.17085762079534206,True
2011-03-17,2011-03-21,SHY,3,0.019191576844174607,-0.00154691998559775,0.010721696303992445,False
2011-03-22,2011-07-28,SPY,90,0.012186316109201512,0.008593423962792945,0.010542030222598031,True
2011-07-29,2011-08-31,SHY,24,-0.05497566945205057,0.0034458482292838433,-0.004356014979154499,True
2011-09-01,2011-09-06,SPY,3,-0.03266088251642896,-0.00035400847555755455,-0.033674708934587905,False
2011-09-07,2011-09-14,SHY,6,-0.007648378686543333,0.00011799766384834598,0.0273541674346216,True
2011-09-15,2011-09-22,SPY,6,-0.06576714698346908,-0.0007092778913513342,-0.06690378192356727,False
2011-09-23,2011-10-05,SHY,9,0.0077504029080917025,-0.0007205919366256586,0.004300501743716989,False
2011-10-06,2013-10-08,SPY,504,0.4827181915367649,0.005401636015913258,0.4804222467195689,True
2013-10-09,2013-10-10,SHY,2,0.021557833901551193,0.0,-0.00010428177450594323,False
2013-10-11,2014-02-03,SPY,78,0.02851831407396621,0.003106352704212334,0.026817020010904358,True
2014-02-04,2014-02-06,SHY,3,0.011916331941450586,-0.0003545263669236798,0.005837820740634658,False
2014-02-07,2014-10-10,SPY,171,0.07522760348274105,0.004537960414945141,0.073641367057653,True
2014-10-13,2014-10-20,SHY,6,0.015420815792978049,0.0012971526291125635,-0.015939639302651076,False
2014-10-21,2015-08-21,SPY,211,0.034583814083073205,0.004374272454589434,0.03247239811129843,True
2015-08-24,2015-09-02,SHY,8,0.03118766195609246,-0.001177418478293779,-0.044015445736979686,False
2015-09-03,2016-01-14,SPY,92,-0.0075380454254285745,0.0005328412534792992,-0.009351219746997597,False
2016-01-15,2016-01-19,SHY,2,0.0013312049177971463,-0.00011770953123169114,-0.022362278959653037,False
2016-01-20,2016-11-03,SPY,202,0.1420073940234221,0.007844214564063146,0.14078654250000366,True
2016-11-04,2016-11-09,SHY,4,0.03754503292476552,-0.0027060012854817073,-0.004553322057403331,False
2016-11-10,2018-02-05,SPY,310,0.2476809666382258,-0.0007299734827077575,0.24476772534948,True
2018-02-06,2018-02-21,SHY,11,0.0034182324842559897,-0.0017938309336569258,0.017185547465400575,False
2018-02-22,2018-03-23,SPY,22,-0.041851179705901576,0.0016311719846486827,-0.043996615327897004,False
2018-03-26,2018-04-04,SHY,7,-0.005846561832154151,0.0004063905992335304,0.027085572290651783,True
2018-04-05,2018-04-09,SPY,3,-0.01746751203835628,0.0007186525281557277,-0.019523169787015293,False
2018-04-10,2018-04-11,SHY,2,-0.0052423243254788865,0.0,0.015209680639665546,True
2018-04-12,2018-10-11,SPY,128,0.03271459889527617,0.003910157275702764,0.029684406288961407,True
2018-10-12,2018-10-16,SHY,3,0.016126140657253485,0.0,0.013205969316655741,False
2018-10-17,2018-10-24,SPY,6,-0.05394904729486849,0.0019282187387783534,-0.05625304587998603,False
2018-10-25,2018-11-01,SHY,6,0.012699891114644535,0.0005547210902534516,0.017818144956062376,False
2018-11-02,2018-12-07,SPY,24,-0.030601003887545164,0.006422284048554827,-0.03407515681079687,False
2018-12-10,2018-12-12,SHY,3,0.005263600940702107,-0.001081153369203891,0.00012294848245586465,False
2018-12-13,2018-12-18,SPY,4,-0.0387757082660134,0.002150950639194793,-0.040086743105644196,False
2018-12-19,2019-01-04,SHY,11,0.010363231389608263,0.0033596857636226662,-0.012370718120039426,False
2019-01-07,2019-05-08,SPY,85,0.13529591988444634,0.012193445030876493,0.13191946228492335,True
2019-05-09,2019-05-14,SHY,4,-0.011372061939613265,0.001428199359608584,-0.00228043207741202,True
2019-05-15,2020-02-25,SPY,197,0.11265413759008203,0.028513666809596216,0.11074347119836214,True
2020-02-26,2020-04-24,SHY,42,-0.0862471052388396,0.018081260252351683,0.013659818838791304,True
2020-04-27,2020-10-27,SPY,129,0.18818391626144182,0.0015227789675105186,0.18534472249436806,True
2020-10-28,2020-11-04,SHY,6,0.05167461231216275,0.00010425109179701408,-0.03473555271408435,False
2020-11-05,2021-12-30,SPY,290,0.38351957063793796,-0.006177660296739496,0.3793385829291396,True
