year,month,asset_held,spy_return,shy_return,net_return,win
2005,1,SPY,-0.017789321026367877,-0.0004910198651137954,-0.017789321026367544,False
2005,2,SPY,0.014464603485036864,-0.002831127391492605,0.020904198372701854,True
2005,3,SPY,-0.023151758103608366,0.0003713665823279477,-0.019238550228953266,False
2005,4,SHY,-0.014306157119391427,0.004583310067859836,0.005205618206149065,True
2005,5,SHY,0.026460525871345286,0.0038307715479493076,0.0025209983668523783,False
2005,6,SPY,-0.006962448365453677,0.0004927427973522303,0.0005496505307045485,False
2005,7,SHY,0.03522108865983009,-0.0009892726448588185,-0.005206102934478873,False
2005,8,SPY,-0.008653175005469804,0.007202939481223414,-0.010300701338219032,False
2005,9,SHY,0.008766545511940782,-0.004199211542505243,-0.002991810218415769,False
2005,10,SHY,-0.020146825883280317,-0.00037347401344167697,-0.000821079142576342,True
2005,11,SHY,0.04083310394668627,0.0036193264687742754,0.0038952658845765598,False
2005,12,SHY,-0.011997715005704568,0.004482582762552978,0.0034926523252643005,True
2006,1,SHY,0.006314221680270959,0.0003725108109644548,0.0017451452965615566,False
2006,2,SHY,-0.0012463249641073704,0.0012488266006382975,-0.0011453551022239106,True
2006,3,SPY,0.0075468003302126,0.0022560580453794277,0.015570532827090533,True
2006,4,SHY,0.013412206375592595,0.0027616031505788285,0.002207799424276846,False
2006,5,SHY,-0.022162841554293045,0.002262341526934719,0.00018924609529080705,True
2006,6,SPY,-0.006893595500444216,0.0011305323953194613,0.0026084691449315134,False
2006,7,SPY,0.00039143338744485057,0.006799733631303928,0.0035463393760597484,False
2006,8,SHY,0.026882290282640886,0.0069001221536066915,0.0060271221786794005,False
2006,9,SPY,0.020906045137101703,0.003248225666888649,0.027001433440897893,True
2006,10,SPY,0.035392463173857136,0.0029958192445294074,0.030588801098621943,True
2006,11,SHY,0.026815790919048732,0.00412049431152095,0.004835169474632917,False
2006,12,SHY,0.015612104050833464,-0.001297546287352902,-0.0008876658218486266,False
2007,1,SPY,0.016835370317804133,0.0006245872570973532,0.014150112075882015,True
2007,2,SHY,-0.025448485205093463,0.007394632462452533,0.007269219518961645,True
2007,3,SHY,0.014612137772823663,0.0031172068587683732,0.004506970532355714,False
2007,4,SHY,0.04312031065420885,0.0028689535624626394,0.0014804629926745694,False
2007,5,SPY,0.03127743303550923,-0.0002503023005636651,0.03391976151616838,True
2007,6,SPY,-0.01948142293780153,0.005267217726635964,-0.014620604809288729,False
2007,7,SPY,-0.039989517789897344,0.008383702823792305,-0.0321747222668991,False
2007,8,SHY,0.007921629891434634,0.011471004535559048,0.008925767041011445,True
2007,9,SPY,0.02833252633786376,0.005568391126167249,0.037810139063273684,True
2007,10,SHY,0.002268107989059631,0.004569405710246333,0.0047799921924363,True
2007,11,SHY,-0.015692546026414456,0.014635483547923878,0.017928243025188806,True
2007,12,SHY,-0.004699412784314072,0.0007329637808066725,0.0029959553977456643,True
2008,1,SHY,-0.05216281188877003,0.014695398859259079,0.016547181218181883,True
2008,2,SHY,-0.04126641580592594,0.00922990055950157,0.010332195516035148,True
2008,3,SHY,-0.006566824619061995,0.0025004364469825013,0.0011233426519150491,True
2008,4,SPY,0.012077806164436877,-0.004775517877944724,0.04766197330144517,True
2008,5,SPY,-0.005456313893388187,-0.0016851494137908318,0.014197222284580313,False
2008,6,SHY,-0.07400906459935341,0.0004832204006735008,0.002455019065756181,True
2008,7,SHY,-0.012073797741269598,0.0045978495566718625,0.0029509705614381154,True
2008,8,SPY,0.020846390923345837,0.004470340291464536,0.01545380572673083,True
2008,9,SPY,-0.08851193318241035,0.006505919736047527,-0.09504036440643038,False
2008,10,SHY,-0.1656896887644369,0.007900455056442102,0.00983019599973134,True
2008,11,SPY,-0.07228930929592259,0.009162420052161613,-0.07066372084604156,False
2008,12,SHY,0.10793470147401707,0.003979426337684444,0.005631800304586987,False
2009,1,SHY,-0.10897089861167253,0.0009502863191186428,-0.004370789903478833,True
2009,2,SHY,-0.10474727763376002,-0.0023750705282233886,-0.0014495972773765908,True
2009,3,SHY,0.13440768532830516,0.002734492107045572,0.0038879773087256986,False
2009,4,SPY,0.07846104588445924,-0.0014255166664639551,0.09934606364862386,True
2009,5,SPY,0.0527929579217723,0.0013123570304982568,0.05728312611974262,True
2009,6,SHY,-0.024275572606692553,-0.00011972623226352841,-0.002118449292527136,True
2009,7,SPY,0.07018314214098842,0.0001191549688792648,0.07460612663767052,True
2009,8,SPY,0.020111062330294915,0.0055120178302894285,0.03693937944627956,True
2009,9,SPY,0.0588120946216486,0.0015494208655189023,0.035457293233899234,True
2009,10,SPY,0.005729597828029398,0.00035616536063010074,-0.020292216312848055,True
2009,11,SHY,0.05387292341476102,0.005844093038722908,0.005964400557538108,False
2009,12,SHY,0.006648125453916576,-0.00865646889514271,-0.009686930990924325,False
2010,1,SPY,-0.052413124199801486,0.006622102328856183,-0.03735091287642589,False
2010,2,SHY,0.015404088403275784,0.002035919066093239,0.0016033159373207706,False
2010,3,SHY,0.04997618745150678,-0.002513079488854153,-0.004004628312922254,False
2010,4,SPY,0.008573854106898482,0.003363741796672093,0.014454785699600459,True
2010,5,SHY,-0.09123395202868023,0.005517242970892289,0.004528974752302295,True
2010,6,SHY,-0.0355145475402352,0.00417800686993397,0.004189991415062488,True
2010,7,SHY,0.07308324793016152,0.002260683202790048,0.000664905899998347,False
2010,8,SPY,-0.06607012124510525,0.002615565093597061,-0.04598126705296346,False
2010,9,SHY,0.05791038539737858,0.001780990637474611,-0.00010882875640083611,False
2010,10,SPY,0.03385402276044869,0.0020160181516628572,0.038202292717150144,True
2010,11,SPY,-0.0003374724812352792,-0.0024869277600760853,-0.0009901005871019164,True
2010,12,SHY,0.044635227575385406,-0.00014066210197660745,-0.0029985467707137614,False
2011,1,SPY,0.012829319463049993,0.0015490085423164324,0.02330011524049347,True
2011,2,SPY,0.018433471232575993,-0.00011846165085693805,0.033782518860950406,True
2011,3,SHY,0.01707795393900291,-0.0019074255953311914,-0.0013006149240896159,False
2011,4,SHY,0.024634199508913435,0.004537010826654919,0.005341653765704502,False
2011,5,SHY,-0.009690067963582849,0.0038067726723651774,0.0036401932927452307,True
2011,6,SHY,0.0057199439799768825,-0.0007113952127154599,-0.0014480210601083288,False
2011,7,SPY,-0.034274431908728364,0.0032076580661357657,-0.020932812545439994,False
2011,8,SHY,-0.05093960612964199,0.0037922355160768806,0.003447089812417481,True
2011,9,SHY,-0.05957179002269963,-0.0012987789682410433,-0.00230584667428968,True
2011,10,SPY,0.14163554813361423,0.00011816720862212193,0.10914677459062072,True
2011,11,SPY,0.024508379714943018,0.00035509987773640894,-0.004063583800046788,True
2011,12,SPY,0.010609506949881276,0.00046260644663020933,0.010447957642886418,True
2012,1,SPY,0.029960861328861776,0.001420669996233359,0.045400886450857936,True
2012,2,SHY,0.03434776693487218,-0.0010650844306794305,-0.002837632560780845,False
2012,3,SPY,0.026842914641393323,-0.000592325394264126,0.03216328263753043,True
2012,4,SPY,-0.013889326242475741,0.001778505570059652,-0.0075753806590667105,False
2012,5,SHY,-0.06586622331093273,0.0005927307394466563,0.0005697305446996648,True
2012,6,SHY,0.06745665653003252,-0.0010656452011060802,-0.0024041830930396912,False
2012,7,SPY,0.008790572124189433,0.001895954519519627,0.010905063404833104,True
2012,8,SHY,0.025946765036566122,0.0002366548600445384,7.152199133320103e-05,False
2012,9,SHY,0.026296293977726704,0.00023695144118418554,0.00016597735142220849,False
2012,10,SHY,-0.020782797536897157,-0.0007104453481887596,-0.002151843943907883,True
2012,11,SPY,-0.004761043145864008,0.00047411657286633435,0.004762602698759277,False
2012,12,SHY,0.01392737021851076,0.0001305203474617489,-0.0012300127362265822,False
2013,1,SPY,0.024921160047023605,0.00035488293732921505,0.051190033537253266,True
2013,2,SPY,0.0024469742002333206,0.0007108202715957468,0.012759520720562634,True
2013,3,SPY,0.03455918830562399,0.00011841659898803591,0.03797036327186043,True
2013,4,SPY,0.023261354382927424,0.0005917333079334952,0.01921218549182324,True
2013,5,SPY,0.03266323965217466,-0.0015380915310237997,0.02360960730273498,True
2013,6,SPY,-0.01874772022641824,-0.0013029728359802428,-0.013344120941995885,False
2013,7,SPY,0.04555017723824961,0.0011857791132952045,0.05080948441986699,True
2013,8,SHY,-0.04107570467254962,-0.000592691848893212,-0.0009720526478205205,True
2013,9,SHY,0.02700289719606741,0.002610873392009383,0.0005876338787427215,False
2013,10,SPY,0.03808928530001188,0.0009484114861555426,0.04630648574993512,True
2013,11,SPY,0.027183844128181534,0.0013025141604321444,0.02963788760535313,True
2013,12,SPY,0.02859732695447148,-0.0011707538003482565,0.025925992400807285,True
2014,1,SPY,-0.02591349727513359,0.0015399549946897295,-0.036030129144234535,False
2014,2,SHY,0.06958738146285115,0.00011889519950880612,0.0003910007847875985,False
2014,3,SHY,0.0154360483862368,-0.0016552613425488971,-0.0028467163326820755,False
2014,4,SPY,0.00031842011167260154,0.001659079756470394,0.006160615304848571,False
2014,5,SHY,0.023097450980158474,0.0017749711794192713,-8.005932381260905e-06,False
2014,6,SPY,0.019481106254039426,-0.00011808260997070441,0.019852883153256062,True
2014,7,SHY,-0.01999679931799403,-0.0003547705616598895,-0.0025682272444098597,True
2014,8,SPY,0.042649326161841916,0.0005915246104608585,0.03946335558635439,True
2014,9,SPY,-0.013304569905567831,0.00011829121605932968,-0.013796318613767289,False
2014,10,SPY,0.037612621995146034,0.001537523612207936,0.02355084320527112,True
2014,11,SPY,0.026912008062758064,0.0011810741770301725,0.027472229643493717,True
2014,12,SPY,0.004444204332372026,-0.0029150336535945787,-0.0025368276358358477,True
2015,1,SPY,-0.029109685951053677,0.005203795709811887,-0.03038547120925794,False
2015,2,SHY,0.043284337155462316,-0.0025902449176874454,-0.004812882631719639,False
2015,3,SPY,-0.02188156135029018,0.0033091128645159618,-0.016459511127963733,False
2015,4,SHY,0.013417842301449934,-0.00011789531558925592,-0.0015829195154802855,False
2015,5,SPY,0.001993477238015462,0.0008254841220611819,0.012856088801167509,True
2015,6,SPY,-0.022303136068551166,0.0009443584530028915,-0.02105413963856917,False
2015,7,SHY,0.014457609799634064,0.0012989243451997368,-0.0014687281578674716,False
2015,8,SPY,-0.05777219495636987,-0.0008251133703343072,-0.06167906765971176,False
2015,9,SHY,0.0044649082768575266,0.002595066040721683,0.0011393778779840158,False
2015,10,SPY,0.0822357433022165,-0.0014125374618609854,0.08505964655577647,True
2015,11,SPY,-0.008080319822255766,-0.0020055894815718123,0.003655110258999006,False
2015,12,SPY,-0.026564854964872042,-0.00209314691591167,-0.0180347422919358,False
2016,1,SHY,-0.03631497616142387,0.005209373931989836,0.006519902525292887,True
2016,2,SHY,-0.0004650943822770426,0.0016496875773464037,0.0011187510641934573,True
2016,3,SHY,0.04275405286376133,0.002712264721789648,-0.0005226413572241295,False
