transition_date,from_asset,to_asset,price_out,price_in,cost_per_share_out,cost_per_share_in,lc_out,lc_in,total_cost_pct
2002-08-30,SPY,SHY,59.38621139526367,51.70900344848633,0.03469622327200338,0.030859189303581915,False,False,0.001103882720169848
2002-09-30,SHY,SPY,52.09170150756836,53.159427642822266,0.031048844011893877,0.03158216012154031,False,False,0.001202322103537635
2003-08-29,SPY,SHY,66.76239776611328,52.89828872680664,0.03838240681232848,0.031452600068706656,False,False,0.0010460230491673777
2003-09-30,SHY,SPY,53.40371322631836,66.0342788696289,0.03170506855791883,0.03801850828137207,False,False,0.0013055941736450228
2004-08-31,SPY,SHY,74.28296661376953,54.16699981689453,0.042142719721674715,0.032086277197233955,False,False,0.0009992734580036163
2004-09-30,SHY,SPY,54.115562438964844,75.02854919433594,0.032059975150516055,0.042515250516286934,False,False,0.0013780735578774392
2005-08-31,SPY,SHY,83.58789825439453,54.7212028503418,0.04679478804764282,0.032362350766584336,False,False,0.0009469928119656431
2005-09-30,SHY,SPY,54.55746078491211,84.25871276855469,0.032279977831598465,0.047130071562539025,False,False,0.001455530522346054
2006-08-31,SPY,SHY,90.69426727294922,56.25990295410156,0.05034766961303566,0.03313097403311411,False,False,0.0009204401353716916
2006-09-29,SHY,SPY,56.50691604614258,93.14314270019531,0.033254592202117676,0.05157214619927382,False,False,0.001501174446188559
2007-08-31,SPY,SHY,104.34373474121094,59.37798309326172,0.057172736100478426,0.03469028467239857,False,False,0.0008803884679871955
2007-09-28,SHY,SPY,59.70573043823242,108.38333892822266,0.034854514751567346,0.05919240460917595,False,False,0.0015751740858113777
2008-08-29,SPY,SHY,92.88751220703125,63.0381965637207,0.051444637851033814,0.03652035023447819,False,False,0.0009470055338488587
2008-09-30,SHY,SPY,63.52859878540039,84.13997650146484,0.03676639409888282,0.04707155400111154,False,False,0.0013196882931921568
2009-08-31,SPY,SHY,75.89117431640625,65.45621490478516,0.04294631599768127,0.03772915623490262,False,False,0.0010630415586433135
2009-09-30,SHY,SPY,65.61088562011719,78.58203125,0.03780633714967411,0.044291626856098124,False,False,0.0012512857162318182
2010-08-31,SPY,SHY,79.49651336669922,67.05109405517578,0.04474895250896308,0.03852616823299431,False,False,0.0010475317371194423
2010-09-30,SHY,SPY,67.1307144165039,86.61581420898438,0.038565849355327995,0.04830849830498804,False,False,0.0012941073011872822
2011-08-31,SPY,SHY,94.11264038085938,67.97555541992188,0.0520578503518233,0.03898807149215413,False,False,0.0009674143821226202
2011-09-30,SHY,SPY,67.9064712524414,87.5792465209961,0.0389535792053446,0.04879070718352936,False,False,0.0012921343838157302
2012-08-31,SPY,SHY,111.0063247680664,68.16829681396484,0.0605035488378757,0.03908443797001372,False,False,0.0008971379515173198
2012-09-28,SHY,SPY,68.17959594726562,113.82039642333984,0.03909008826326751,0.061910834618037314,False,False,0.001481395151702355
2013-08-30,SPY,SHY,131.5687713623047,68.170654296875,0.07078498544657758,0.03908564926193274,False,False,0.0008350814070153198
2013-09-30,SHY,SPY,68.32271575927734,135.73240661621094,0.039161862699211014,0.07286671242767088,False,False,0.0016396973375823378
2014-08-29,SPY,SHY,164.53466796875,68.6184310913086,0.08726787117873748,0.039309596604534355,False,False,0.0007693057599709785
2014-09-30,SHY,SPY,68.56815338134766,162.2647705078125,0.039284608620092955,0.08613298120332048,False,False,0.0018290938816142937
2015-08-31,SPY,SHY,165.22914123535156,69.08816528320312,0.08761585660046836,0.03954454826884535,False,False,0.0007696003496634233
2015-09-30,SHY,SPY,69.29196166992188,161.01315307617188,0.03964645634322449,0.08550762462126894,False,False,0.0018061846994702718
2016-08-31,SPY,SHY,185.64419555664062,69.70036315917969,0.09782251060646556,0.03985084283158678,False,False,0.0007415979423716901
2016-09-30,SHY,SPY,69.79065704345703,185.65496826171875,0.03989567467971097,0.09782835984785276,False,False,0.001973387848201603
2017-08-31,SPY,SHY,215.65419006347656,70.02142333984375,0.11282784447154554,0.040011364174771885,False,False,0.0007087235754674188
2017-09-29,SHY,SPY,69.89063262939453,219.99949645996094,0.039945844950331315,0.11500017264277798,False,False,0.0022169783240442763
