lookback_days,dma_gate,regime_c_cash_pct,rebal_day,is_sharpe,is_cagr,is_mdd,is_trades,is_win_rate,is_pf,is_cpr,is_ppt_bps,is_n_transitions
10,True,0.0,first,0.3878368601920984,0.0765840394057955,-0.7543023027111706,382,0.599476439790576,1.4184435512976126,0.0681541691210794,69.71193856682763,148
10,True,0.0,last,0.7145445638617985,0.09071206875682014,-0.40063408343933843,399,0.5939849624060151,1.44877247433933,0.06979420537956246,70.60542523667125,152
10,True,0.5,first,0.3878086520371189,0.07652489601974533,-0.753677822668377,382,0.599476439790576,1.5333707732421245,0.06650104111769735,84.03828597546789,148
10,True,0.5,last,0.7145444451185853,0.09071237594930515,-0.40063551457935986,399,0.5939849624060151,1.5196246794278239,0.06967519466412986,77.92225357720909,152
10,True,1.0,first,0.3877806871178818,0.07646596395292904,-0.7530555512875122,370,0.6108108108108108,1.6565295981669017,0.06501262538853479,97.81218933754572,148
10,True,1.0,last,0.7145443480335255,0.09071262711044414,-0.4006366846815202,387,0.5968992248062015,1.589532121836029,0.06966228389507144,84.43598359245166,152
10,False,0.0,first,0.3878368601920984,0.0765840394057955,-0.7543023027111706,382,0.599476439790576,1.4184435512976126,0.0681541691210794,69.71193856682763,148
10,False,0.0,last,0.7145445638617985,0.09071206875682014,-0.40063408343933843,399,0.5939849624060151,1.44877247433933,0.06979420537956246,70.60542523667125,152
10,False,0.5,first,0.3878368601920984,0.0765840394057955,-0.7543023027111706,382,0.599476439790576,1.4184435512976126,0.0681541691210794,69.71193856682763,148
10,False,0.5,last,0.7145445638617985,0.09071206875682014,-0.40063408343933843,399,0.5939849624060151,1.44877247433933,0.06979420537956246,70.60542523667125,152
10,False,1.0,first,0.3878368601920984,0.0765840394057955,-0.7543023027111706,382,0.599476439790576,1.4184435512976126,0.0681541691210794,69.71193856682763,148
10,False,1.0,last,0.7145445638617985,0.09071206875682014,-0.40063408343933843,399,0.5939849624060151,1.44877247433933,0.06979420537956246,70.60542523667125,152
20,True,0.0,first,0.3878366978814537,0.07658369995274583,-0.7542987185775806,380,0.6,1.3643541171192333,0.07014263023842314,61.15464579190961,145
20,True,0.0,last,0.7145447814883337,0.09071150574655995,-0.40063146050048887,360,0.5944444444444444,1.4017509488073796,0.06885556811883466,66.67359642002901,136
20,True,0.5,first,0.3878085369646743,0.07652465413232967,-0.7536752685935751,380,0.6,1.4657550899725036,0.06796890194992199,74.75882351895507,145
20,True,0.5,last,0.7145447511925872,0.09071158412337632,-0.40063182564068983,360,0.5944444444444444,1.422263743230094,0.06834490720344492,69.483110659443,136
20,True,1.0,first,0.3877806065953762,0.07646579383110819,-0.753053754916552,364,0.6181318681318682,1.5765435520491602,0.0659799380572382,88.30858285401284,145
20,True,1.0,last,0.7145447216342774,0.09071166059231817,-0.40063218189248184,354,0.5988700564971752,1.4425176056541316,0.0678698898899729,72.21475119524014,136
20,False,0.0,first,0.3878366978814537,0.07658369995274583,-0.7542987185775806,380,0.6,1.3643541171192333,0.07014263023842314,61.15464579190961,145
20,False,0.0,last,0.7145447814883337,0.09071150574655995,-0.40063146050048887,360,0.5944444444444444,1.4017509488073796,0.06885556811883466,66.67359642002901,136
20,False,0.5,first,0.3878366978814537,0.07658369995274583,-0.7542987185775806,380,0.6,1.3643541171192333,0.07014263023842314,61.15464579190961,145
20,False,0.5,last,0.7145447814883337,0.09071150574655995,-0.40063146050048887,360,0.5944444444444444,1.4017509488073796,0.06885556811883466,66.67359642002901,136
20,False,1.0,first,0.3878366978814537,0.07658369995274583,-0.7542987185775806,380,0.6,1.3643541171192333,0.07014263023842314,61.15464579190961,145
20,False,1.0,last,0.7145447814883337,0.09071150574655995,-0.40063146050048887,360,0.5944444444444444,1.4017509488073796,0.06885556811883466,66.67359642002901,136
60,True,0.0,first,0.39582002240616987,0.06934280663252657,-0.5840927665476688,191,0.6387434554973822,1.8183369417419268,0.03792543783340498,190.57238660477174,74
60,True,0.0,last,0.7145398181976564,0.0907243448954389,-0.4006912746080089,188,0.601063829787234,1.6800240160773054,0.040336621537898576,162.82718135990015,73
60,True,0.5,first,0.39560484283890524,0.06932639869210933,-0.583717038033728,193,0.6373056994818653,1.7850190737368536,0.03903890127738181,180.71634203097673,74
60,True,0.5,last,0.7145702411031358,0.09064560928539156,-0.4003244465704859,188,0.601063829787234,1.7564521891932467,0.040084192524972626,174.5377928979557,73
60,True,1.0,first,0.3955059861890406,0.06927520292153444,-0.5834671156014071,187,0.6417112299465241,1.7255475707249182,0.03995139243360277,169.23877412950958,74
60,True,1.0,last,0.714597337927976,0.09057540695475064,-0.3999973343165808,180,0.6166666666666667,1.8327965142308789,0.03997716553093328,184.95661784339762,73
60,False,0.0,first,0.39582002240616987,0.06934280663252657,-0.5840927665476688,191,0.6387434554973822,1.8183369417419268,0.03792543783340498,190.57238660477174,74
