z_lookback,z_threshold,iwm_heavy_pct,min_hold_days,dma_window,sharpe,cagr,max_drawdown,total_return,trade_count,position_switches,win_rate,profit_factor,avg_ppt_bps,avg_cost_bps
30,1.0,0.7,5,200,0.6605,0.0838,-0.2056,2.6239,439,438,0.5831,1.4472,34.12,1.3897
30,1.25,0.55,2,150,0.4688,0.0551,-0.255,1.3584,590,589,0.5814,1.2758,18.35,1.5631
30,1.25,0.55,2,200,0.4086,0.0469,-0.2898,1.0821,572,571,0.5769,1.2321,16.36,1.1876
30,1.25,0.55,3,150,0.5827,0.0704,-0.2161,1.9715,520,519,0.5865,1.3727,24.87,1.5503
30,1.25,0.55,3,200,0.5573,0.0676,-0.25,1.8488,503,502,0.5765,1.349,24.42,1.1435
30,1.25,0.55,5,150,0.5848,0.0713,-0.2296,2.0091,425,424,0.5953,1.4029,30.48,1.4303
30,1.25,0.55,5,200,0.6298,0.0784,-0.2139,2.3452,424,423,0.5967,1.4332,32.73,1.1098
30,1.25,0.6,2,150,0.4671,0.0549,-0.254,1.3509,590,589,0.5814,1.2761,18.37,1.6441
30,1.25,0.6,2,200,0.4052,0.0465,-0.2895,1.0685,572,571,0.5769,1.2316,16.34,1.2748
30,1.25,0.6,3,150,0.582,0.0704,-0.2178,1.9686,520,519,0.5865,1.3739,24.93,1.632
30,1.25,0.6,3,200,0.555,0.0673,-0.2496,1.8367,503,502,0.5765,1.3492,24.42,1.2317
30,1.25,0.6,5,150,0.5899,0.0721,-0.2283,2.0438,425,424,0.5976,1.4082,30.85,1.5155
30,1.25,0.6,5,200,0.6334,0.079,-0.2131,2.3749,424,423,0.5967,1.4376,33.03,1.2001
30,1.25,0.65,2,150,0.4652,0.0547,-0.2531,1.3433,590,589,0.5831,1.2764,18.4,1.7255
30,1.25,0.65,2,200,0.4018,0.046,-0.2891,1.0548,572,571,0.5787,1.231,16.31,1.3625
30,1.25,0.65,3,150,0.581,0.0703,-0.2196,1.9653,520,519,0.5904,1.3749,24.98,1.7143
30,1.25,0.65,3,200,0.5524,0.0671,-0.2493,1.8243,503,502,0.5805,1.3494,24.42,1.3204
30,1.25,0.65,5,150,0.5947,0.0728,-0.227,2.0784,425,424,0.6,1.4131,31.21,1.6013
30,1.25,0.65,5,200,0.6367,0.0796,-0.2122,2.4044,424,423,0.5991,1.442,33.34,1.291
30,1.25,0.7,2,150,0.4632,0.0545,-0.2521,1.3354,590,589,0.5847,1.2765,18.43,1.8073
30,1.25,0.7,2,200,0.3982,0.0456,-0.2888,1.041,572,571,0.5804,1.2303,16.28,1.4506
30,1.25,0.7,3,150,0.5798,0.0702,-0.2213,1.9616,520,519,0.5923,1.3758,25.04,1.797
30,1.25,0.7,3,200,0.5496,0.0668,-0.249,1.8117,503,502,0.5825,1.3494,24.42,1.4096
30,1.25,0.7,5,150,0.5994,0.0736,-0.2256,2.1131,425,424,0.6047,1.4178,31.57,1.6875
30,1.25,0.7,5,200,0.6397,0.0802,-0.2114,2.4339,424,423,0.6038,1.4463,33.64,1.3824
30,1.5,0.55,2,150,0.515,0.0612,-0.2387,1.5849,569,568,0.5571,1.322,20.74,1.6422
30,1.5,0.55,2,200,0.4501,0.0525,-0.2899,1.2662,550,549,0.5509,1.2688,18.73,1.2315
30,1.5,0.55,3,150,0.4894,0.058,-0.2773,1.4657,492,491,0.565,1.3176,22.72,1.6051
30,1.5,0.55,3,200,0.5056,0.0611,-0.264,1.5814,481,480,0.5572,1.319,23.85,1.2186
30,1.5,0.55,5,150,0.4987,0.0591,-0.2314,1.505,408,407,0.576,1.3545,27.23,1.5196
30,1.5,0.55,5,200,0.5895,0.0726,-0.2456,2.0696,401,400,0.591,1.4238,32.52,1.1981
30,1.5,0.6,2,150,0.5134,0.061,-0.2366,1.5775,569,568,0.5571,1.3222,20.78,1.7221
30,1.5,0.6,2,200,0.4491,0.0524,-0.2898,1.2631,550,549,0.5509,1.2695,18.79,1.3184
30,1.5,0.6,3,150,0.4883,0.0579,-0.2792,1.4619,492,491,0.5691,1.3181,22.78,1.6855
30,1.5,0.6,3,200,0.504,0.0609,-0.2661,1.576,481,480,0.5593,1.3195,23.9,1.3054
30,1.5,0.6,5,150,0.5034,0.0598,-0.2318,1.5322,408,407,0.576,1.3589,27.59,1.6013
30,1.5,0.6,5,200,0.5943,0.0734,-0.2443,2.1063,401,400,0.591,1.429,32.92,1.2854
30,1.5,0.65,2,150,0.5117,0.0608,-0.2346,1.57,569,568,0.5606,1.3223,20.81,1.8024
30,1.5,0.65,2,200,0.448,0.0523,-0.2897,1.2598,550,549,0.5545,1.2702,18.86,1.4057
30,1.5,0.65,3,150,0.487,0.0578,-0.2812,1.4579,492,491,0.5711,1.3185,22.83,1.7664
30,1.5,0.65,3,200,0.5023,0.0608,-0.2681,1.5704,481,480,0.5613,1.32,23.95,1.3928
30,1.5,0.65,5,150,0.5079,0.0605,-0.2322,1.5595,408,407,0.5735,1.3634,27.95,1.6835
