rsi_entry_threshold,max_positions,sharpe,max_drawdown,win_rate,trade_count,total_return,profit_factor,sharpe_delta_pct
2,4,0.3187,-0.0983,0.6875,176,0.1752,1.502,1.01
2,5,0.2884,-0.0903,0.6823,192,0.1447,1.4796,-8.59
2,6,0.2808,-0.0837,0.6816,201,0.1299,1.5021,-11.0
3,4,0.3091,-0.107,0.6836,275,0.1939,1.3442,-2.03
3,5,0.3155,-0.0931,0.6765,306,0.1875,1.388,0.0
3,6,0.317,-0.0841,0.6759,324,0.1754,1.421,0.48
4,4,0.3879,-0.0897,0.6831,366,0.2878,1.3748,22.95
4,5,0.3355,-0.0848,0.6774,403,0.2243,1.3331,6.34
4,6,0.3589,-0.078,0.6813,433,0.226,1.3913,13.76
