ticker,entry_date,exit_date,entry_price,exit_price,shares,pnl,entry_cost,exit_cost,transaction_cost,liquidity_constrained,hold_days,exit_reason,regime_active_at_entry,overnight_gap,weekend_gap,period
XLV,2013-09-26,2013-10-02,41.2384,41.5049,579,154.28,14.9618,15.0474,30.0092,False,4,RSI_EXIT,True,True,True,IS
QQQ,2013-11-08,2013-11-14,73.8093,75.2181,324,456.43,2.871,2.8958,5.7667,False,4,RSI_EXIT,True,True,True,IS
SPY,2013-12-06,2013-12-09,145.9726,146.5941,164,101.93,2.0333,2.0365,4.0698,False,1,RSI_EXIT,True,True,True,IS
XLV,2013-12-06,2013-12-09,44.8883,45.208,536,171.4,14.8628,14.949,29.8118,False,1,RSI_EXIT,True,True,True,IS
XLB,2013-12-04,2013-12-09,16.9719,17.2438,1415,384.81,19.3046,19.4866,38.7911,False,3,RSI_EXIT,True,True,True,IS
XLF,2014-01-27,2014-01-31,13.6914,13.5706,1764,-213.17,21.0097,20.9386,41.9483,False,4,RSI_EXIT,True,True,False,IS
XLB,2014-01-27,2014-01-31,17.2001,17.1099,1404,-126.53,19.3481,19.29,38.6381,False,4,RSI_EXIT,True,True,False,IS
XLK,2014-01-28,2014-02-03,14.8507,14.9331,1623,133.71,20.3681,20.4757,40.8438,False,4,RSI_EXIT,True,True,True,IS
SPY,2014-01-27,2014-02-04,145.4573,142.0942,165,-554.9,2.047,2.0222,4.0692,False,6,MAX_HOLD,True,True,True,IS
XLI,2014-01-27,2014-02-04,40.1675,39.1385,601,-618.4,15.2492,14.9665,30.2158,False,6,MAX_HOLD,True,True,True,IS
SPY,2014-03-14,2014-03-18,150.1606,151.6461,158,234.71,1.9916,2.0047,3.9962,False,2,RSI_EXIT,True,True,True,IS
XLI,2014-03-14,2014-03-18,41.3151,41.7445,577,247.74,14.9161,15.0634,29.9794,False,2,RSI_EXIT,True,True,True,IS
XLB,2014-03-14,2014-03-18,18.3625,18.5138,1300,196.67,18.5781,18.6987,37.2768,False,2,RSI_EXIT,True,True,True,IS
XLV,2014-03-17,2014-03-19,48.2132,48.8997,496,340.54,14.5643,14.7535,29.3178,False,2,RSI_EXIT,True,True,False,IS
XLF,2014-03-17,2014-03-19,14.2352,14.3273,1681,154.76,20.4691,20.5578,41.0268,False,2,RSI_EXIT,True,True,False,IS
IWM,2014-03-27,2014-04-01,97.9017,99.5199,246,398.08,2.485,2.5054,4.9903,False,3,RSI_EXIT,True,True,True,IS
XLB,2014-08-01,2014-08-05,19.1736,19.2624,1252,111.27,18.425,18.5232,36.9482,False,2,RSI_EXIT,True,True,True,IS
XLP,2014-07-31,2014-08-07,31.8715,32.1072,757,178.45,15.9905,16.0974,32.0879,False,5,RSI_EXIT,True,True,True,IS
